CD_TYPO_ENTRE;CD_HAB_ENTRE;LB_CODE_ENTRE;LB_HAB_ENTRE;LB_TYPE_REL;LB_CONDITION;LB_REMARQUES;CD_TYPO_SORTIE;CD_HAB_SORTIE;LB_CODE_SORTIE;LB_HAB_SORTIE
28;24433;;<em>Sagino maritimae - Catapodietum marini</em> Txen in Txen & Westhoff 1963;;;;8;2706;1310;V‚g‚tations pionniŠres … Salicornia et autres espŠces annuelles des zones boueuses et sableuses
28;24435;;<em>Soncho oleracei - Cochlearietum danicae</em> G‚hu & de Foucault ex de Foucault & Bioret 2010;;;;8;2706;1310;V‚g‚tations pionniŠres … Salicornia et autres espŠces annuelles des zones boueuses et sableuses
28;24437;;<em>Catapodio marini - Trifolietum scabri</em> G‚hu & de Foucault 1978;;;;8;2706;1310;V‚g‚tations pionniŠres … Salicornia et autres espŠces annuelles des zones boueuses et sableuses
28;24440;;<em>Senecioni leucanthemifolii - Nanantheetum perpusillae</em> Gamisans ex Biondi, Filigheddu & Farris 2001;;;;8;2706;1310;V‚g‚tations pionniŠres … Salicornia et autres espŠces annuelles des zones boueuses et sableuses
28;24453;;<em>Centaurio acutiflori - Hordeetum gussoneani</em> Gamisans 1990;;;;8;2706;1310;V‚g‚tations pionniŠres … Salicornia et autres espŠces annuelles des zones boueuses et sableuses
28;26435;;<em>Veronico nummulariae - Ranunculetum alpestris</em> Corriol 2014;;;;8;2869;6170;Pelouses calcaires alpines et subalpines
28;26448;;<em>Salici herbaceae - Caricetum lachenalii</em> B‚guin & Theurillat 1982;;;;8;2861;6150;Pelouses bor‚o-alpines siliceuses
28;24117;;<em>Crypsio schoenoidis - Cyperetum micheliani</em> Martinez Parras, Peinado Lorca, Bartolom‚ Esteban & Molero Mesa 1988;;;;8;2760;3170;Mares temporaires m‚diterran‚ennes
28;23882;;<em>Junco capitati - Morisietum monanthi</em> Gamisans 1976;;;;8;2760;3170;Mares temporaires m‚diterran‚ennes
28;23902;;<em>Spirodelo - Lemnetum minoris</em> Mll. & G”rs 1960;;;;8;2767;3260;RiviŠres des ‚tages planitiaire … montagnard avec v‚g‚tation du Ranunculion fluitantis et du Callitricho-Batrachion
28;23913;;<em>Utricularietum australis</em> T. Mll. & G”rs 1960;;;;8;2758;3150;Lacs eutrophes naturels avec v‚g‚tation du Magnopotamion ou de l'Hydrocharition
28;23914;;<em>Spirodelo - Aldrovandetum vesiculosae</em> Borhidi & J rai-Koml¢di 1959;;;;8;2758;3150;Lacs eutrophes naturels avec v‚g‚tation du Magnopotamion ou de l'Hydrocharition
28;23928;;<em>Potamo polygonifolii - Scirpetum fluitantis</em> Allorge 1922;;;;8;2703;3110;Eaux oligotrophes trŠs peu min‚ralis‚es des plaines sablonneuses (Littorelletalia uniflorae)
28;23937;;<em>Littorello uniflorae - Isoetetum tenuissimae</em> Allorge & Gaume ex G‚hu & de Foucault 1988;;;;8;2703;3110;Eaux oligotrophes trŠs peu min‚ralis‚es des plaines sablonneuses (Littorelletalia uniflorae)
28;23940;;<em>Eleocharito acicularis - Marsileetum quadrifoliae</em> Ubriszy ex Pietsch 1977;;;;8;2756;3130;Eaux stagnantes, oligotrophes … m‚sotrophes avec v‚g‚tation des Littorelletea uniflorae et/ou des Isoeto-Nanojuncetea
28;23957;;<em>Aconito neapolitani - Imperatorietum ostruthii</em> Braun-Blanq. 1948 corr. de Foucault & Corriol 2013;;;;8;2835;6430;"M‚gaphorbiaies hygrophiles d&#39;ourlets planitiaires et des ‚tages montagnard … alpin"
28;23971;;<em>Polygonato verticillati - Adenostyletum alliariae</em> de Foucault 1999;;;;8;2835;6430;"M‚gaphorbiaies hygrophiles d&#39;ourlets planitiaires et des ‚tages montagnard … alpin"
28;23996;;<em>Galio hercynici - Festucetum tenuifoliae</em> Rasch ex Stieperaere 1969;;;;8;2797;6230;Formations herbeuses … Nardus, riches en espŠces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale)
28;23999;;<em>Jasiono laevis - Danthonietum decumbentis</em> Loidi 1983;;;;8;2797;6230;Formations herbeuses … Nardus, riches en espŠces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale)
