code;code_hic;label
2657;1240;Falaises avec végétation des côtes méditerranéennes avec Limonium spp. endémiques
2659;1330;Prés-salés atlantiques (Glauco-Puccinellietalia maritimae)
2660;1320;Prés à Spartina (Spartinion maritimae)
2661;1410;Prés-salés méditerranéens (Juncetalia maritimi)
2662;1340;Prés-salés intérieurs
2663;1420;Fourrés halophiles méditerranéens et thermo-atlantiques (Sarcocornietea fruticosi)
2664;1430;Fourrés halo-nitrophiles (Pegano-Salsoletea)
2666;2190;Dépressions humides intradunales
2668;2210;Dunes fixées du littoral du Crucianellion maritimae
2669;2230;Dunes avec pelouses des Malcolmietalia
2670;2240;Dunes avec pelouses des Brachypodietalia et des plantes annuelles
2671;2260;Dunes à végétation sclérophylle des Cisto-Lavanduletalia
2674;2270;Dunes avec forêts à Pinus pinea et/ou Pinus pinaster
2682;2110;Dunes mobiles embryonnaires
2683;2120;Dunes mobiles du cordon littoral à Ammophila arenaria (“dunes blanches”)
2684;2130;Dunes côtières fixées à végétation herbacée (“dunes grises”)
2685;2180;Dunes boisées des régions atlantique, continentale et boréale
2687;2150;Dunes fixées décalcifiées atlantiques (Calluno-Ulicetea)
2688;2170;Dunes à Salix repens ssp. argentea (Salicion arenariae)
2689;2160;Dunes à Hippophae rhamnoides
2691;3280;Rivières permanentes méditerranéennes du Paspalo-Agrostidion avec rideaux boisés riverains à Salix et Populus alba
2692;3290;Rivières intermittentes méditerranéennes du Paspalo-Agrostidion
2693;32A0;Cascades de travertin des rivières karstiques dans les Alpes dinariques
2694;4020;Landes humides atlantiques tempérées à Erica ciliaris et Erica tetralix
2696;4060;Landes alpines et boréales
2697;4070;Fourrés à Pinus mugo et Rhododendron hirsutum (Mugo-Rhododendretum hirsuti)
2698;4080;Fourrés de Salix spp. subarctiques
2699;4090;Landes oro-méditerranéennes endémiques à genêts épineux
2700;4040;Landes sèches atlantiques littorales à Erica vagans
2701;2330;Dunes intérieures avec pelouses ouvertes à Corynephorus et Agrostis
2703;3110;Eaux oligotrophes très peu minéralisées des plaines sablonneuses (Littorelletalia uniflorae)
2704;3120;Eaux oligotrophes très peu minéralisées sur sols généralement sableux de l'ouest méditerranéen à Isoetes spp.
2705;1510;Steppes salées méditerranéennes (Limonietalia)
2706;1310;Végétations pionnières à Salicornia et autres espèces annuelles des zones boueuses et sableuses
2707;1110;Bancs de sable à faible couverture permanente d'eau marine
2708;1120;Herbiers à Posidonia (Posidonion oceanicae)
2656;1230;Falaises avec végétation des côtes atlantiques et baltiques
2769;3250;Rivières permanentes méditerranéennes à Glaucium flavum
2771;8330;Grottes marines submergées ou semi-submergées
2772;8340;Glaciers permanents
2777;7210;Marais calcaires à Cladium mariscus et espèces du Caricion davallianae
2778;7220;Sources pétrifiantes avec formation de travertins (Cratoneurion)
2779;7240;Formations pionnières alpines du Caricion bicoloris-atrofuscae
2781;8110;Éboulis siliceux de l'étage montagnard à nival (Androsacetalia alpinae et Galeopsietalia ladani)
2782;8120;Éboulis calcaires et de schistes calcaires des étages montagnard à alpin (Thlaspietea rotundifolii)
2783;8130;Éboulis ouest-méditerranéens et thermophiles
2785;8150;Éboulis médio-européens siliceux des régions hautes
2786;8160;Éboulis médio-européens calcaires des étages collinéen à montagnard
2787;8220;Pentes rocheuses siliceuses avec végétation chasmophytique
2788;8230;Roches siliceuses avec végétation pionnière du Sedo-Scleranthion ou du Sedo albi-Veronicion dillenii
2789;8310;Grottes non exploitées par le tourisme
2790;91A0;Vieilles chênaies des îles Britanniques à Ilex et Blechnum
2709;1130;Estuaires
2710;1140;Replats boueux ou sableux exondés à marée basse
2711;1150;Lagunes côtières
2712;1160;Grandes criques et baies peu profondes
2713;1170;Récifs
2716;1210;Végétation annuelle des laisses de mer
2717;1220;Végétation vivace des rivages de galets
2721;9230;Chênaies galicio-portugaises à Quercus robur et Quercus pyrenaica
2723;92D0;Galeries et fourrés riverains méridionaux (Nerio-Tamaricetea et Securinegion tinctoriae)
2727;9320;Forêts à Olea et Ceratonia
2728;9330;Forêts à Quercus suber
2729;9340;Forêts à Quercus ilex et Quercus rotundifolia
2732;9260;Forêts de Castanea sativa
2736;92A0;Forêts-galeries à Salix alba et Populus alba
2751;91H0;Bois pannoniques à Quercus pubescens
2754;91D0;Tourbières boisées
2756;3130;Eaux stagnantes, oligotrophes à mésotrophes avec végétation des Littorelletea uniflorae et/ou des Isoeto-Nanojuncetea
2757;3140;Eaux oligo-mésotrophes calcaires avec végétation benthique à Chara spp.
2758;3150;Lacs eutrophes naturels avec végétation du Magnopotamion ou de l'Hydrocharition
2759;3160;Lacs et mares dystrophes naturels
2760;3170;Mares temporaires méditerranéennes
2765;3220;Rivières alpines avec végétation ripicole herbacée
2766;3240;Rivières alpines avec végétation ripicole ligneuse à Salix elaeagnos
2767;3260;Rivières des étages planitiaire à montagnard avec végétation du Ranunculion fluitantis et du Callitricho-Batrachion
2768;3270;Rivières avec berges vaseuses avec végétation du Chenopodion rubri p.p. et du Bidention p.p.
2807;5130;Formations à Juniperus communis sur landes ou pelouses calcaires
2809;5120;Formations montagnardes à Cytisus purgans
2813;9110;Hêtraies du Luzulo-Fagetum
2814;9130;Hêtraies de l'Asperulo-Fagetum
2815;9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion
2816;9140;Hêtraies subalpines médio-européennes à Acer et Rumex arifolius
2817;9160;Chênaies pédonculées ou chênaies-charmaies sub-atlantiques et médio-européennes du Carpinion betuli
2818;9170;Chênaies-charmaies du Galio-Carpinetum
2819;9180;Forêts de pentes, éboulis ou ravins du Tilio-Acerion
2821;7110;Tourbières hautes actives
2822;7130;Tourbières de couverture (* pour les tourbières actives)
2823;7140;Tourbières de transition et tremblantes
2825;7150;Dépressions sur substrats tourbeux du Rhynchosporion
2826;7120;Tourbières hautes dégradées encore susceptibles de régénération naturelle
2833;6410;Prairies à Molinia sur sols calcaires, tourbeux ou argilo-limoneux (Molinion caeruleae)
2834;6420;Prairies humides méditerranéennes à grandes herbes du Molinio-Holoschoenion
2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin"
2836;6440;Prairies alluviales inondables du Cnidion dubii
2839;6510;Prairies de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis)
