code;label
23852;Eriophoro vaginati - Vaccinietum uliginosi de Foucault 1999
23853;Dicrano bergeri - Callunetum vulgaris Thébaud & Pétel 2008
23855;Avenello flexuosae - Sphagnetum capillifolii Thébaud & Pétel 2008
23857;Carici nigrae - Sphagnetum magellanici Bick 1985 nom. mut.
23859;Herniarietum glabrae (Hohenester 1960) Hejný & Jehlík 1975
23861;Rumici acetosellae - Spergularietum rubrae Hülbusch 1973
23862;Polygono avicularis - Scleranthetum uncinati de Foucault & Terrisse in de Foucault 1987
23863;Poo annuae - Coronopodetum squamati (Oberd. 1957) Gutte 1966
23865;Coronopodo procumbentis - Sclerochloetum durae Braun-Blanq. 1936
23866;Sclerochloo durae - Polygonetum arenastri Soó ex Korneck 1969 corr. Mucina in Mucina et al. 1993 
23868;gr. à Polypogon maritimus - Bellis annua Paradis et al., 2002
23869;Laurentio michelii - Anthocerotetum dichotomi Braun-Blanq. 1936
23871;Cicendietum filiformis Allorge 1922
23873;Centaurio maritimi - Juncetum capitati Bioret in de Foucault 2013
23874;gr. à Montia fontana subsp. chondrosperma - Sedum villosum de Foucault, 1988
23875;gr. à Sedum villosum subsp. villosum Gésan 1978
23878;Ranunculo sardoi - Myosuretum minimi Diemont et al. ex Oesau 1973
23879;gr. à Sagina subulata - Illecebrum verticillatum Choisnet & Mulot, 2008
23880;Ranunculo gracilis - Radioletum linoidis (Hueck 1932) Libbert 1940
23882;Junco capitati - Morisietum monanthi Gamisans 1976
23885;gr. à Illecebrum verticillatum Billy, 2002
23886;gr. à Juncus bufonius - Gypsophila muralis Billy, 2002
23887;Gnaphalio uliginosi - Peplidetum portulae O. Bolos 1979
23888;gr. à Spergularia segetalis - Lythrum thymifolium Seytre, 2006
23889;gr. à Juncus bufonius - Myosurus minimus Bournérias et al., 1978
23890;Isolepido setaceae - Centaurietum chloodis Rivas Goday ex Brullo & Minissale 1998
23891;gr. à Blackstonia imperfoliata - Blackstonia perfoliata de Foucault, 1984
23892;gr. à Blackstonia imperfoliata de Foucault, inédit août 1986
23893;Blackstonio perfoliatae - Ranunculetum sardoi de Foucault 2013
23894;gr. à Centaurium maritimum - Blackstonia acuminata Georgen, 1982
23896;Erythraeo pulchellae - Blackstonietum serotinae Oberd. 1957
23898;Junco sphaerocarpi - Lythretum hyssopifoliae de Laclos & J.-M. Royer ex de Laclos & J.-M. Royer in J.-M. Royer, Felzines, Misset & Thévenin 2006
23900;Lino cathartici - Blackstonietum perfoliatae de Foucault & JuIve 2002
23902;Spirodelo - Lemnetum minoris Müll. & Görs 1960
23904;Lemnetum minori - turioniferae Wolff & Jentsch ex H. Passarge 1996
23907;Lemno minoris - Azolletum filiculoidis Braun-Blanq. in Braun-Blanq., Roussine & Nègre 1952
23909;Ricciocarpetum natantis Tüxen 1974
23911;Salvinio - Spirodeletum polyrhizae Slavni? 1956
23913;Utricularietum australis T. Müll. & Görs 1960
23916;Lemno minoris - Hydrocharitetum morsus-ranae Oberd. ex H. Passarge 1978
23919;Isoeto lacustris - Lobelietum dortmannae Tüxen 1937 emend. Dierssen 1975
23920;gr. à Baldellia ranunculoides - Lobelia dortmanna Clément & Touffet 1983
23921;Scirpo americani - Lobelietum dortmannae Vanden Berghen 1964 emend. Dierssen 1975
23922;Isoetetum boryanae (Vanden Berghen 1969) Dierssen 1975
23923;Junco heterophylli - Pilularietum globuliferae J. Rodríguez et al. 1997
23924;Littorello uniflorae - Isoetetum velatae Paradis & Pozzo di Borgo 2005
23926;Eleocharitetum multicaulis Allorge ex Tüxen 1937
23927;Hyperico elodis - Potametum oblongi Allorge ex Braun-Blanq. & Tüxen 1952
23931;Apio inundati - Littorelletum uniflorae Fröde ex Passarge 1999
23933;Ranunculo flammulae - Juncetum bulbosi Oberd. 1957
23934;Samolo valerandi - Littorelletum uniflorae Westhoff 1947
23936;gr. à Eleocharis multicaulis - Solenopsis minuta de Litardière 1930
23937;Littorello uniflorae - Isoetetum tenuissimae Allorge & Gaume ex Géhu & de Foucault 1988
23939;Eleocharito acicularis - Alismatetum graminei Kallen ex H. Passarge 1999
23940;Eleocharito acicularis - Marsileetum quadrifoliae Ubriszy ex Pietsch 1977
23942;Isoeto lacustris - Sparganietum borderei Braun-Blanq. 1948 emend. Lazare & Riba 2010
23944;Isoetetum creussensis Lazare & Riba 2010
23946;Callitricho palustris - Sparganietum angustifolii Braun-Blanq. ex Oberd. 1957
23948;Ranunculo nodiflori - Juncetum bulbosi Gamisans 1976
23949;Sorbo ambiguae - Calamagrostietum arundinaceae Oberd. (1936) 1957
23951;Crepido blattarioidis - Laserpitietum latifolii Richard ex Fernez et al. 2007
23953;Senecioni cacaliastri - Calamagrostietum arundinaceae Schaminée et al. 1992
23954;Heracleo sphondylii - Calamagrostietum arundinaceae Michalet & Philippe 1994
23955;Luzulo sylvaticae - Calamagrostietum arundinaceae Michalet & Philippe 1994
23956;Lilio pyrenaici - Molopospermetum peloponesiaci Rivas-Mart., Costa & P. Soriano in Rivas-Mart. et al. 2002
23958;Knautio arvernensis - Imperatorietum ostruthii de Foucault & Gruber 2013
23959;Scrophulario alpestris - Aruncetum dioici Nègre 1972 corr. Rivas-Mart. et al. 2002
23961;Valeriano montanae - Aconitetum pyrenaici O. Bolòs & P. Monts. in O. Bolòs 1984
23962;Ranunculo platanifolii - Adenostyletum pyrenaicae Rivas-Mart., Báscones, T.E. Díaz, F.-González & Loidi 1991
23963;Delphinio montani - Trollietum europaei Braun-Blanq. 1948 nom. inval. (art. 3b)
23965;gr. à Adenostyles albifrons et Scrophularia alpestris Chouard, 1949
23966;Doronico austriaci - Campanuletum latifoliae Quézel & Rioux 1954
23969;Arabido cebennensis - Adenostyletum alliariae Braun-Blanq. ex Delpech & de Foucault 1985
23971;Polygonato verticillati - Adenostyletum alliariae de Foucault 1999
23972;Ranunculo lanuginosi - Adenostyletum alliariae de Foucault & Corriol 2013
23974;Delphinietum elati Sutter 1978
23975;Hugueninio tanacetifoliae - Adenostyletum alliariae Lacoste ex de Foucault & Lacoste 2013
23977;Polygono bistortae - Eryngietum alpini Géhu-Franck & Géhu 1984
23980;association à Aconitum lycoctonum et Adenostyles glabra de Bannes-Puygiron 1933
23981;Salici lapponum - Luzuletum desvauxii (Luquet 1926) de Foucault & Corriol 2013
23982;Veratro albi - Luzuletum desvauxii Michalet & Philippe 1994
23984;Arunco dioici - Petasitetum albi Braun-Blanq. & Sutter 1977
23845;Ericetum tetralicis (P. Allorge 1922) Jonas ex Thébaud 2012
23846;Sphagno compacti - Ericetum tetralicis (Clément 1981) Thébaud 2012
23847;Sphagno compacti - Trichophoretum germanici (Oberd.) J. & M. Bartsch 1940
23849;Sphagno tenelli - Trichophoretum cespitosi Osvald 1925
20780;Adenocarpo complicati - Ericetum arboreae Braun-Blanq. ex Braun-Blanq., Roussine & Nègre 1952
20782;Querco suberis - Sarothamnetum scoparii Dupont ex Géhu & Géhu-Franck 1975
